No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-18 15:45:11,121.484,23.9095,3.4,16.8,23.91N 121.48E, i.e. 16.5 km WSW of Hualien County(23.91N 121.48E, i.e. 16.5 km WSW of Hualien County)
Small area,2024-05-18 06:33:06,121.579,23.9373,3.1,9.5,23.94N 121.58E, i.e. 7.3 km SW of Hualien County(23.94N 121.58E, i.e. 7.3 km SW of Hualien County)
Small area,2024-05-18 05:00:48,121.56,23.742,3.3,6.9,23.74N 121.56E, i.e. 28.2 km SSW of Hualien County(23.74N 121.56E, i.e. 28.2 km SSW of Hualien County)
Small area,2024-05-17 16:21:48,121.568,23.8247,3.5,7.2,23.82N 121.57E, i.e. 19.2 km SSW of Hualien County(23.82N 121.57E, i.e. 19.2 km SSW of Hualien County)
Small area,2024-05-17 15:04:13,121.59,23.8947,3,9.7,23.89N 121.59E, i.e. 11.1 km SSW of Hualien County(23.89N 121.59E, i.e. 11.1 km SSW of Hualien County)
Small area,2024-05-17 13:30:49,121.655,23.9323,3.8,40.4,23.93N 121.65E, i.e. 7.4 km SSE of Hualien County(23.93N 121.65E, i.e. 7.4 km SSE of Hualien County)
Small area,2024-05-17 11:49:55,121.643,23.92,4.8,36.5,23.92N 121.64E, i.e. 8.2 km SSE of Hualien County(23.92N 121.64E, i.e. 8.2 km SSE of Hualien County)
Small area,2024-05-17 10:45:51,121.643,24.0293,3.7,34.5,24.03N 121.64E, i.e. 4.8 km NNE of Hualien County(24.03N 121.64E, i.e. 4.8 km NNE of Hualien County)
Small area,2024-05-17 03:57:42,121.731,24.0242,3.6,26.6,24.02N 121.73E, i.e. 11.8 km ENE of Hualien County(24.02N 121.73E, i.e. 11.8 km ENE of Hualien County)
Small area,2024-05-16 22:52:21,121.657,24.2142,3.7,28.2,24.21N 121.66E, i.e. 25.0 km N of Hualien County(24.21N 121.66E, i.e. 25.0 km N of Hualien County)
392   ,2024-05-16 22:46:24,121.662,24.209,4.5,29.6,24.21N 121.66E, i.e. 24.5 km N of Hualien County(24.21N 121.66E, i.e. 24.5 km N of Hualien County)
Small area,2024-05-16 11:11:13,121.746,23.8157,3.8,17.8,23.82N 121.75E, i.e. 23.3 km SE of Hualien County(23.82N 121.75E, i.e. 23.3 km SE of Hualien County)
Small area,2024-05-15 02:41:59,121.326,23.9172,3.4,4.9,23.92N 121.33E, i.e. 31.1 km WSW of Hualien County(23.92N 121.33E, i.e. 31.1 km WSW of Hualien County)
Small area,2024-05-14 21:25:11,121.533,23.7653,3.4,7.1,23.77N 121.53E, i.e. 26.5 km SSW of Hualien County(23.77N 121.53E, i.e. 26.5 km SSW of Hualien County)
Small area,2024-05-14 19:18:41,121.686,24.174,3.7,34.7,24.17N 121.69E, i.e. 21.3 km NNE of Hualien County(24.17N 121.69E, i.e. 21.3 km NNE of Hualien County)
391   ,2024-05-14 10:34:15,121.693,24.0385,4.8,22.5,24.04N 121.69E, i.e. 9.1 km ENE of Hualien County(24.04N 121.69E, i.e. 9.1 km ENE of Hualien County)
Small area,2024-05-14 05:37:25,121.697,24.2492,3.2,12.8,24.25N 121.70E, i.e. 29.6 km NNE of Hualien County(24.25N 121.70E, i.e. 29.6 km NNE of Hualien County)
Small area,2024-05-13 23:55:43,121.664,24.1145,4.1,28.5,24.11N 121.66E, i.e. 14.4 km NNE of Hualien County(24.11N 121.66E, i.e. 14.4 km NNE of Hualien County)
Small area,2024-05-13 22:10:53,121.667,23.8918,4,45.1,23.89N 121.67E, i.e. 12.0 km SSE of Hualien County(23.89N 121.67E, i.e. 12.0 km SSE of Hualien County)
390   ,2024-05-13 15:57:27,120.964,23.8207,4.1,21.1,23.82N 120.96E, i.e. 29.3 km ESE of Nantou County(23.82N 120.96E, i.e. 29.3 km ESE of Nantou County)
Small area,2024-05-13 14:06:07,121.869,24.2882,3.3,11.3,24.29N 121.87E, i.e. 41.5 km NE of Hualien County(24.29N 121.87E, i.e. 41.5 km NE of Hualien County)
Small area,2024-05-12 15:14:29,121.262,23.4145,3.5,7.4,23.41N 121.26E, i.e. 73.5 km SSW of Hualien County(23.41N 121.26E, i.e. 73.5 km SSW of Hualien County)
Small area,2024-05-12 09:28:52,121.862,24.2967,3.1,11.8,24.30N 121.86E, i.e. 41.8 km NE of Hualien County(24.30N 121.86E, i.e. 41.8 km NE of Hualien County)
Small area,2024-05-12 07:48:48,121.677,24.1067,3.6,18.3,24.11N 121.68E, i.e. 14.0 km NNE of Hualien County(24.11N 121.68E, i.e. 14.0 km NNE of Hualien County)
389   ,2024-05-12 05:47:10,121.582,24.0287,4.1,8.1,24.03N 121.58E, i.e. 5.7 km NW of Hualien County(24.03N 121.58E, i.e. 5.7 km NW of Hualien County)
Small area,2024-05-12 04:22:54,121.744,24.2212,3.2,16.7,24.22N 121.74E, i.e. 28.4 km NNE of Hualien County(24.22N 121.74E, i.e. 28.4 km NNE of Hualien County)
388   ,2024-05-12 03:07:33,121.683,24.2388,4.8,29.3,24.24N 121.68E, i.e. 28.2 km NNE of Hualien County(24.24N 121.68E, i.e. 28.2 km NNE of Hualien County)
Small area,2024-05-12 02:36:56,121.674,24.2328,4,28.8,24.23N 121.67E, i.e. 27.3 km NNE of Hualien County(24.23N 121.67E, i.e. 27.3 km NNE of Hualien County)
Small area,2024-05-12 02:36:35,121.665,24.04,3.9,25.4,24.04N 121.67E, i.e. 7.1 km NE of Hualien County(24.04N 121.67E, i.e. 7.1 km NE of Hualien County)
Small area,2024-05-11 19:11:14,121.575,23.9352,3.4,8.3,23.94N 121.57E, i.e. 7.7 km SW of Hualien County(23.94N 121.57E, i.e. 7.7 km SW of Hualien County)
387   ,2024-05-11 19:09:18,121.585,23.9313,4.4,9.5,23.93N 121.58E, i.e. 7.5 km SSW of Hualien County(23.93N 121.58E, i.e. 7.5 km SSW of Hualien County)
386   ,2024-05-11 17:44:39,121.734,24.0408,5,27.8,24.04N 121.73E, i.e. 12.8 km ENE of Hualien County(24.04N 121.73E, i.e. 12.8 km ENE of Hualien County)
Small area,2024-05-11 13:16:30,121.598,23.8785,4,7.4,23.88N 121.60E, i.e. 12.7 km S of Hualien County(23.88N 121.60E, i.e. 12.7 km S of Hualien County)
385   ,2024-05-11 13:16:02,121.629,23.8663,5,6.5,23.87N 121.63E, i.e. 13.8 km S of Hualien County(23.87N 121.63E, i.e. 13.8 km S of Hualien County)
Small area,2024-05-11 12:35:23,121.635,23.8795,3.7,6.5,23.88N 121.63E, i.e. 12.4 km S of Hualien County(23.88N 121.63E, i.e. 12.4 km S of Hualien County)
384   ,2024-05-11 07:07:43,121.601,23.8823,4.1,11.8,23.88N 121.60E, i.e. 12.2 km S of Hualien County(23.88N 121.60E, i.e. 12.2 km S of Hualien County)
Small area,2024-05-11 05:50:58,121.466,23.7648,4,9.2,23.76N 121.47E, i.e. 29.6 km SW of Hualien County(23.76N 121.47E, i.e. 29.6 km SW of Hualien County)
Small area,2024-05-11 03:57:30,121.837,24.2345,3.6,8.5,24.23N 121.84E, i.e. 34.8 km NE of Hualien County(24.23N 121.84E, i.e. 34.8 km NE of Hualien County)
Small area,2024-05-11 02:08:51,121.824,24.2038,3.5,7.8,24.20N 121.82E, i.e. 31.4 km NE of Hualien County(24.20N 121.82E, i.e. 31.4 km NE of Hualien County)
Small area,2024-05-11 01:41:27,121.599,23.9178,3.7,10.1,23.92N 121.60E, i.e. 8.4 km SSW of Hualien County(23.92N 121.60E, i.e. 8.4 km SSW of Hualien County)
Small area,2024-05-11 01:39:52,120.191,23.354,3.7,9.3,23.35N 120.19E, i.e. 15.6 km SW of Chiayi County(23.35N 120.19E, i.e. 15.6 km SW of Chiayi County)
Small area,2024-05-10 21:02:39,121.525,23.7077,3.6,5,23.71N 121.53E, i.e. 32.8 km SSW of Hualien County(23.71N 121.53E, i.e. 32.8 km SSW of Hualien County)
Small area,2024-05-10 16:40:22,121.592,23.911,3.8,11.3,23.91N 121.59E, i.e. 9.3 km SSW of Hualien County(23.91N 121.59E, i.e. 9.3 km SSW of Hualien County)
383   ,2024-05-10 16:10:22,121.651,23.8943,4.3,7,23.89N 121.65E, i.e. 11.2 km SSE of Hualien County(23.89N 121.65E, i.e. 11.2 km SSE of Hualien County)
Small area,2024-05-10 15:50:41,121.833,24.2132,4.5,7.2,24.21N 121.83E, i.e. 32.8 km NE of Hualien County(24.21N 121.83E, i.e. 32.8 km NE of Hualien County)
Small area,2024-05-10 15:49:28,121.851,24.205,4.6,6.1,24.21N 121.85E, i.e. 33.4 km NE of Hualien County(24.21N 121.85E, i.e. 33.4 km NE of Hualien County)
Small area,2024-05-10 15:46:06,121.851,24.2133,4.9,7.2,24.21N 121.85E, i.e. 34.0 km NE of Hualien County(24.21N 121.85E, i.e. 34.0 km NE of Hualien County)
382   ,2024-05-10 15:45:18,121.834,24.2315,6,7.7,24.23N 121.83E, i.e. 34.4 km NE of Hualien County(24.23N 121.83E, i.e. 34.4 km NE of Hualien County)
381   ,2024-05-10 09:40:20,121.611,23.8575,4.3,9.8,23.86N 121.61E, i.e. 14.8 km S of Hualien County(23.86N 121.61E, i.e. 14.8 km S of Hualien County)
380   ,2024-05-10 09:37:22,121.607,23.854,5.1,6.7,23.85N 121.61E, i.e. 15.2 km S of Hualien County(23.85N 121.61E, i.e. 15.2 km S of Hualien County)
379   ,2024-05-10 09:35:39,121.592,23.7115,5.2,8.2,23.71N 121.59E, i.e. 31.1 km S of Hualien County(23.71N 121.59E, i.e. 31.1 km S of Hualien County)
Small area,2024-05-10 06:40:58,121.823,24.2033,3.7,8,24.20N 121.82E, i.e. 31.3 km NE of Hualien County(24.20N 121.82E, i.e. 31.3 km NE of Hualien County)
378   ,2024-05-09 20:36:25,121.602,23.9147,4.6,11.1,23.91N 121.60E, i.e. 8.7 km SSW of Hualien County(23.91N 121.60E, i.e. 8.7 km SSW of Hualien County)
Small area,2024-05-09 11:02:44,121.65,24.0472,3.6,14.8,24.05N 121.65E, i.e. 6.9 km NNE of Hualien County(24.05N 121.65E, i.e. 6.9 km NNE of Hualien County)
Small area,2024-05-09 05:35:49,121.65,23.866,3.9,29,23.87N 121.65E, i.e. 14.2 km SSE of Hualien County(23.87N 121.65E, i.e. 14.2 km SSE of Hualien County)
Small area,2024-05-08 19:31:27,122.403,24.1032,4.9,27.7,24.10N 122.40E, i.e. 80.6 km E of Hualien County(24.10N 122.40E, i.e. 80.6 km E of Hualien County)
377   ,2024-05-08 16:40:43,121.589,23.7422,4.8,8,23.74N 121.59E, i.e. 27.7 km S of Hualien County(23.74N 121.59E, i.e. 27.7 km S of Hualien County)
Small area,2024-05-08 14:35:59,121.504,23.6877,3.9,2.9,23.69N 121.50E, i.e. 35.6 km SSW of Hualien County(23.69N 121.50E, i.e. 35.6 km SSW of Hualien County)
Small area,2024-05-08 09:05:46,121.58,23.9213,3.4,11.1,23.92N 121.58E, i.e. 8.7 km SSW of Hualien County(23.92N 121.58E, i.e. 8.7 km SSW of Hualien County)
